# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	6719
#@/user_id	winK
a 	阿	c=14 d=1.69988 t=6719
ling yu 	领域	c=1 d=0.0265162 t=6719
liu 	流	c=1 d=0.1764 t=6719
liu 	留	c=1 d=0.0160027 t=6719
liu gong ge 	六宫格	c=3 d=2.71867 t=4533
liu lan qi 	浏览器	c=2 d=0.756094 t=6719
liu lang 	流浪	c=1 d=1 t=4619
liu lang de qiu 	流浪地球	c=1 d=0.0668703 t=6719
liu liang 	流量	c=3 d=2.57635 t=5792
liu nian ji 	六年级	c=3 d=0.646389 t=6719
liu shui 	流水	c=1 d=1 t=4767
lo 	咯	c=2 d=1.89137 t=4760
long zi 	笼子	c=1 d=1 t=6543
lou 	露	c=1 d=1 t=4389
lou zhu 	楼主	c=1 d=0.109701 t=6719
lu 	陆	c=1 d=1 t=5871
lu bian 	路边	c=1 d=0.873716 t=6719
lu bo 	录播	c=6 d=2.72744 t=6719
lu shang 	路上	c=1 d=1 t=6654
lu you 	路由	c=11 d=1.62526 t=6719
lu you qi 	路由器	c=2 d=0.217621 t=6719
lu zhang 	路障	c=1 d=0.166127 t=6719
luan 	乱	c=1 d=0.100259 t=6719
luan 	卵	c=4 d=3.2889 t=6604
lun 	论	c=1 d=0.111359 t=6719
lun tan 	论坛	c=2 d=0.000347204 t=6719
lun wen 	论文	c=1 d=1 t=5232
luo ji 	逻辑	c=1 d=1 t=6109
luo tou 	落头	c=1 d=0.198891 t=6719
luo xuan 	螺旋	c=1 d=0.105399 t=6719
lv 	律	c=1 d=0.0374406 t=6719
lv you 	旅游	c=1 d=1 t=5253
ma 	吗	c=26 d=1.46929 t=6719
ma 	嘛	c=1 d=0.25924 t=6719
ma 	骂	c=2 d=0.299377 t=6719
ma bao nan 	妈宝男	c=1 d=0.120633 t=6719
ma de 	妈的	c=4 d=1.04812 t=6719
ma ding 	马丁	c=1 d=1 t=6506
ma fan 	麻烦	c=3 d=2.05965 t=5628
ma li ya 	玛丽亚	c=1 d=1 t=6234
ma shang 	马上	c=1 d=0.00381048 t=6719
mai 	买	c=8 d=0.847205 t=6719
mai 	卖	c=3 d=0.935655 t=6719
mai bu dao 	买不到	c=1 d=1 t=5165
mai bu qi 	买不起	c=2 d=1.956 t=4280
mai dao 	买到	c=2 d=1.91393 t=5181
mai ge 	买个	c=1 d=1 t=6412
mai guo 	买过	c=1 d=1 t=5914
man 	慢	c=2 d=0.425283 t=6719
man 	满	c=2 d=0.169483 t=6719
man hua 	漫画	c=20 d=1.88446 t=6719
man hua dou 	漫画都	c=1 d=0.891366 t=6719
man hua li 	漫画里	c=2 d=0.106611 t=6719
man man 	慢慢	c=1 d=1 t=4379
man yi 	满意	c=1 d=0.0278757 t=6719
mao 	猫	c=1 d=0.00467746 t=6719
mao bing 	毛病	c=1 d=0.0963276 t=6719
mao dun 	矛盾	c=1 d=0.104874 t=6719
mao si 	貌似	c=2 d=0.12691 t=6719
me 	么	c=3 d=0.382893 t=6719
mei 	没	c=37 d=0.974459 t=6719
mei ban fa 	没办法	c=1 d=1 t=4736
mei bi yao 	没必要	c=1 d=0.00621991 t=6719
mei ci 	每次	c=3 d=2.91353 t=4507
mei cuo 	没错	c=2 d=1.01832 t=6322
mei fa xian 	没发现	c=1 d=0.219808 t=6719
mei ge 	每个	c=2 d=0.111284 t=6719
mei guan xi 	没关系	c=3 d=0.242926 t=6719
mei hua qian 	没花钱	c=1 d=0.332871 t=6719
mei ji ge 	没几个	c=1 d=1 t=6600
mei ju 	美剧	c=2 d=0.00285317 t=6719
mei kan 	没看	c=2 d=0.0017643 t=6719
mei kan dong 	没看懂	c=2 d=0.407723 t=6719
mei lv 	镁铝	c=1 d=1 t=6565
mei mao bing 	没毛病	c=1 d=0.000206543 t=6719
mei mei 	妹妹	c=8 d=0.609662 t=6719
mei ren 	没人	c=1 d=1 t=5869
mei ren kan 	没人看	c=1 d=0.0261214 t=6719
mei shao nv 	美少女	c=4 d=0.689282 t=6719
mei shen me 	没什么	c=1 d=1 t=5859
mei shi 	没事	c=3 d=0.00191189 t=6719
mei shuo wan 	没说完	c=1 d=0.752014 t=6719
mei ti 	媒体	c=1 d=0.918512 t=6719
mei wo 	没我	c=1 d=1 t=4297
mei xin 	眉心	c=2 d=0.153455 t=6719
mei yi ge 	每一个	c=1 d=0.0430669 t=6719
mei yong 	没用	c=3 d=0.0728029 t=6719
mei you 	没有	c=23 d=1.73301 t=6719
mei yu dao 	没遇到	c=1 d=0.140858 t=6719
mei zen me 	没怎么	c=1 d=1 t=5420
men 	门	c=2 d=0.179066 t=6719
meng 	萌	c=2 d=0.111917 t=6719
meng huan 	梦幻	c=1 d=0.551563 t=6719
meng jian 	梦见	c=1 d=0.116484 t=6719
meng li 	梦里	c=2 d=0.234811 t=6719
meng niang 	萌娘	c=2 d=0.850609 t=6719
mi 	米	c=5 d=1.40945 t=6719
mi guo 	米国	c=1 d=1 t=6650
mi ha you 	米哈游	c=1 d=0.0291588 t=6719
mi ma 	密码	c=1 d=1 t=5912
mian 	面	c=3 d=0.0161635 t=6719
mian ban 	面板	c=2 d=1.90484 t=5298
mian qiang 	勉强	c=1 d=0.744532 t=6719
mian shi 	面试	c=5 d=0.966194 t=6719
miao biao 	秒表	c=1 d=0.0177743 t=6719
miao ji 	妙计	c=1 d=1 t=4424
ming 	名	c=1 d=0.000319102 t=6719
ming 	明	c=1 d=0.00524752 t=6719
ming ling 	命令	c=5 d=0.253869 t=6719
ming ling hang 	命令行	c=1 d=1 t=5763
ming ming 	明明	c=1 d=1 t=5187
ming ri fang zhou 	明日方舟	c=1 d=0.0295994 t=6719
ming tou 	名头	c=1 d=1 t=4749
mo fa 	魔法	c=1 d=0.26054 t=6719
mo gu 	蘑菇	c=1 d=0.109701 t=6719
mo gui 	魔鬼	c=1 d=0.000593188 t=6719
mo ren 	默认	c=5 d=0.417266 t=6719
mo shi 	模式	c=5 d=1.19863 t=6719
mo xing 	模型	c=2 d=0.15259 t=6719
mo zu 	模组	c=3 d=0.337902 t=6719
mou 	某	c=1 d=1 t=4992
mou ge 	某个	c=1 d=0.241714 t=6719
mou xie 	某些	c=1 d=1 t=6446
mou zhong 	某种	c=1 d=0.543351 t=6719
mu ban 	模板	c=2 d=0.985112 t=6719
mu lu 	目录	c=5 d=1 t=6719
mu qian 	目前	c=2 d=0.0130365 t=6719
na 	哪	c=3 d=0.0273567 t=6719
na 	拿	c=1 d=1 t=5486
na 	那	c=29 d=2.25412 t=6719
na bian 	那边	c=3 d=0.134711 t=6719
na bu jiu shi 	那不就是	c=1 d=1 t=5037
na chang 	那场	c=1 d=0.075774 t=6719
na dao 	那倒	c=1 d=1 t=6430
na ge 	哪个	c=2 d=0.375497 t=6719
na ge 	那个	c=8 d=1.30631 t=6719
na ge ren 	那个人	c=1 d=1 t=5443
na jiu 	那就	c=6 d=0.11096 t=6719
na ken ding 	那肯定	c=1 d=0.00136037 t=6719
na lai 	拿来	c=1 d=0.852144 t=6719
na li 	哪里	c=5 d=0.0720785 t=6719
na me 	那么	c=7 d=0.358796 t=6719
na me da 	那么大	c=1 d=0.249075 t=6719
na ni 	那你	c=2 d=0.135342 t=6719
na ni jiu 	那你就	c=2 d=1.99005 t=5609
na que shi 	那确实	c=1 d=0.847894 t=6719
na tian 	那天	c=1 d=0.535261 t=6719
na wo 	那我	c=2 d=0.425283 t=6719
na xie 	哪些	c=2 d=0.0391639 t=6719
na yang 	那样	c=1 d=0.00848038 t=6719
na ye de 	那也的	c=1 d=0.0480747 t=6719
na yi hua 	哪一话	c=1 d=0.165299 t=6719
na zhong 	那种	c=7 d=1.47634 t=6719
nai xin 	耐心	c=1 d=0.287941 t=6719
nan 	男	c=4 d=0.367879 t=6719
nan dao 	难道	c=1 d=0.0241131 t=6719
nan ding 	难顶	c=1 d=1 t=6577
nan guai 	难怪	c=1 d=0.000391706 t=6719
nan zhu 	男主	c=1 d=0.509156 t=6719
nao 	闹	c=1 d=0.618783 t=6719
nao zi 	脑子	c=1 d=0.274486 t=6719
ne 	呢	c=10 d=0.759741 t=6719
nei 	内	c=3 d=0.0145524 t=6719
nei cun 	内存	c=6 d=0.840411 t=6719
nei he 	内核	c=3 d=2.63846 t=5548
nei rong 	内容	c=4 d=0.923582 t=6719
nen 	嫩	c=1 d=0.035437 t=6719
neng 	能	c=31 d=1.80544 t=6719
neng bu neng 	能不能	c=2 d=0.173774 t=6719
neng li 	能力	c=7 d=0.0765355 t=6719
neng yong 	能用	c=1 d=0.748264 t=6719
neng you 	能有	c=1 d=1 t=4868
ni 	你	c=68 d=2.80713 t=6719
ni 	尼	c=1 d=0.0301974 t=6719
ni bie shuo 	你别说	c=1 d=1 t=5783
ni dou 	你都	c=1 d=0.209088 t=6719
ni ge zhe 	你搁这	c=1 d=1 t=4302
ni guo 	你国	c=1 d=1 t=4861
ni hao 	你好	c=1 d=1 t=6661
ni jiu 	你就	c=6 d=0.232269 t=6719
ni jue 	你觉	c=1 d=0.923116 t=6719
ni jue de 	你觉得	c=1 d=0.251579 t=6719
ni ke yi 	你可以	c=2 d=0.0378169 t=6719
ni ke yi shuo 	你可以说	c=1 d=0.280832 t=6719
ni ma 	尼马	c=1 d=0.150318 t=6719
ni men 	你们	c=1 d=0.0237541 t=6719
ni neng 	你能	c=2 d=0.778801 t=6719
ni qun 	你群	c=1 d=1 t=5730
ni ren shi 	你认识	c=1 d=1 t=5938
ni shi 	你是	c=7 d=0.545314 t=6719
ni shuo 	你说	c=5 d=0.895834 t=6719
ni shuo de dui 	你说得对	c=1 d=1 t=5483
ni te 	尼特	c=1 d=0.0642483 t=6719
ni xiang 	你像	c=2 d=0.468609 t=6719
ni xiao zi 	你小子	c=1 d=1 t=6583
ni xu yao 	你需要	c=1 d=0.08291 t=6719
ni yao 	你要	c=5 d=0.144336 t=6719
ni zai 	你再	c=2 d=0.240567 t=6719
ni zai 	你在	c=5 d=0.87521 t=6719
ni zhe 	你这	c=2 d=0.276651 t=6719
ni zhi dao 	你知道	c=1 d=0.00806679 t=6719
nian 	年	c=7 d=0.860206 t=6719
nian dai 	年代	c=1 d=0.66365 t=6719
nian nao 	年脑	c=1 d=0.603506 t=6719
nian tou 	年头	c=1 d=0.000934966 t=6719
niang 	娘	c=1 d=0.0203434 t=6719
nie 	捏	c=1 d=1 t=4651
nin 	您	c=3 d=0.932394 t=6719
ning ke 	宁可	c=2 d=1.69768 t=4817
niu 	牛	c=1 d=1 t=4307
nv 	女	c=3 d=0.242235 t=6719
nv de 	女的	c=1 d=1 t=6520
nv lang 	女郎	c=1 d=1 t=4348
nv lao shi 	女老师	c=1 d=1 t=5592
nv quan 	女拳	c=1 d=0.137381 t=6719
nv ren 	女人	c=1 d=0.000466618 t=6719
nv zhu 	女主	c=3 d=0.470072 t=6719
nv zhuang 	女装	c=1 d=1 t=6564
o 	哦	c=9 d=0.466621 t=6719
o du 	哦读	c=1 d=1 t=6552
o o o 	噢噢噢	c=1 d=0.00127476 t=6719
ou xiang 	偶像	c=9 d=2.10405 t=6719
ou xiang bao fu 	偶像包袱	c=1 d=0.116484 t=6719
ou xiang da shi 	偶像大师	c=1 d=0.923116 t=6719
pa 	怕	c=2 d=0.166127 t=6719
pai 	拍	c=3 d=0.313555 t=6719
pai chu 	排除	c=1 d=1 t=4317
pai ming 	排名	c=1 d=1 t=4770
pai she 	拍摄	c=1 d=1 t=6625
pan 	盘	c=2 d=0.149309 t=6719
pao 	跑	c=3 d=2.79629 t=6403
pao kai 	抛开	c=1 d=0.0473589 t=6719
pao man 	跑满	c=1 d=0.0140519 t=6719
pei 	配	c=8 d=0.198369 t=6719
pei fu 	佩服	c=2 d=1.24067 t=6719
pei se 	配色	c=6 d=5.55467 t=6719
pei zhi 	配置	c=2 d=0.0880368 t=6719
pen wu 	喷雾	c=1 d=1 t=6485
peng du 	捧读	c=1 d=0.00509243 t=6719
peng you 	朋友	c=2 d=1.06173 t=6041
pi 	屁	c=3 d=1.00988 t=5906
pi 	皮	c=1 d=1 t=6675
pi bei 	疲惫	c=1 d=1 t=6180
pi fu 	皮肤	c=1 d=1 t=5873
pi gu 	屁股	c=1 d=0.194952 t=6719
pi shi 	屁事	c=1 d=1 t=5595
pi tao 	皮套	c=0 d=0.1 t=6577
pi tao ren 	皮套人	c=1 d=1 t=6578
pi te 	皮特	c=1 d=0.873716 t=6719
pian 	片	c=2 d=1.98511 t=6498
pian mian 	片面	c=1 d=0.139457 t=6719
pian xiang 	偏向	c=2 d=0.0543776 t=6719
pian yi 	便宜	c=2 d=1.00002 t=6421
piao 	票	c=2 d=1.94649 t=5175
piao dai 	飘带	c=1 d=1 t=6566
piao jia 	票价	c=3 d=0.148485 t=6719
pin 	拼	c=1 d=0.174645 t=6719
pin dao 	频道	c=1 d=0.0816756 t=6719
pin mu 	品目	c=1 d=0.242926 t=6719
pin yin 	拼音	c=0 d=0.0970446 t=6719
pin yin she zhi 	拼音设置	c=1 d=0.97531 t=6719
ping 	平	c=1 d=0.367879 t=6719
ping bi 	屏蔽	c=2 d=0.375311 t=6719
ping guo 	苹果	c=6 d=1.41294 t=6719
ping jia 	评价	c=4 d=0.873716 t=6719
ping jun 	平均	c=1 d=0.0156858 t=6719
ping mu 	屏幕	c=6 d=0.942039 t=6719
ping shi 	平时	c=1 d=0.1764 t=6719
ping tai 	平台	c=2 d=0.0947226 t=6719
po 	破	c=1 d=1 t=4554
po fang 	破防	c=2 d=0.223275 t=6719
po po 	婆婆	c=1 d=1 t=4934
pu 	谱	c=3 d=1.00729 t=6318
qi 	器	c=3 d=0.275271 t=6719
qi 	期	c=1 d=0.000263884 t=6719
qi bu lai 	起不来	c=1 d=0.0963276 t=6719
qi dong 	启动	c=9 d=0.389419 t=6719
qi dong qi 	启动器	c=1 d=1 t=4300
qi fei 	起飞	c=1 d=1 t=5777
qi hua 	企划	c=1 d=0.000430743 t=6719
qi lai 	起来	c=7 d=0.945139 t=6719
qi ma 	起码	c=3 d=0.362402 t=6719
qi shi 	其实	c=13 d=0.965223 t=6719
qi shou 	起手	c=1 d=1 t=4984
qi ta 	其他	c=4 d=0.501811 t=6719
qi ye 	企业	c=9 d=5.1396 t=4910
qi yong 	启用	c=1 d=1 t=5281
qi zhong 	其中	c=1 d=1 t=4798
qian 	前	c=3 d=0.607483 t=6719
qian 	千	c=1 d=0.143704 t=6719
qian 	欠	c=1 d=0.339596 t=6719
qian 	钱	c=1 d=0.344728 t=6719
qian bao 	钱包	c=1 d=0.0112206 t=6719
qian bei 	前辈	c=3 d=0.0913353 t=6719
qian duan 	前端	c=1 d=0.0383884 t=6719
qian hou 	前后	c=2 d=0.0433412 t=6719
qian qi 	前期	c=1 d=0.00101791 t=6719
qian wan 	千万	c=1 d=1 t=4555
qian zhao 	千兆	c=1 d=1 t=6415
qian zhe 	前者	c=3 d=1.43326 t=6719
qiang 	墙	c=1 d=0.729789 t=6719
qiang 	强	c=1 d=1 t=5720
qiang 	抢	c=1 d=1 t=5655
qiang fa 	枪法	c=1 d=0.895834 t=6719
qiao 	桥	c=1 d=0.000476044 t=6719
qiao jie 	桥接	c=1 d=0.0972957 t=6719
qiao luo da gu 	敲锣打鼓	c=1 d=1 t=6050
qie 	且	c=1 d=0.00904991 t=6719
qie 	切	c=1 d=1 t=4299
qie huan 	切换	c=1 d=0.000160054 t=6719
qin 	亲	c=1 d=1 t=4978
qin 	琴	c=1 d=1 t=6589
qing 	请	c=2 d=0.00856561 t=6719
qing jie 	情节	c=1 d=0.00339653 t=6719
qing kuang 	情况	c=4 d=0.985112 t=6719
qing lv 	情侣	c=1 d=0.299692 t=6719
qing song 	轻松	c=2 d=1.98511 t=6099
qing wen 	请问	c=2 d=1.1212 t=6719
qing xi 	清晰	c=1 d=0.22313 t=6719
qing zhen 	清真	c=1 d=0.024234 t=6719
qiong 	穹	c=1 d=0.0315873 t=6719
qiong suan 	穷酸	c=1 d=1 t=4589
qiu ren 	囚人	c=1 d=1 t=6493
qiu sheng 	求生	c=6 d=0.0905333 t=6719
qu 	去	c=18 d=0.81331 t=6719
qu 	取	c=2 d=0.00511177 t=6719
qu bu qu 	去不去	c=1 d=1 t=5033
qu dao 	渠道	c=1 d=0.904837 t=6719
qu dong 	驱动	c=2 d=0.574489 t=6719
qu guo 	去过	c=1 d=0.00124951 t=6719
qu jue 	取决	c=1 d=1 t=5321
qu kuai lian 	区块链	c=1 d=1 t=6614
qu nian 	去年	c=1 d=0.597501 t=6719
qu wen wen 	去问问	c=1 d=0.017953 t=6719
qu xian 	曲线	c=1 d=1 t=6016
qu zi 	曲子	c=1 d=1 t=5186
quan 	全	c=5 d=0.162015 t=6719
quan 	圈	c=2 d=0.1764 t=6719
quan 	拳	c=1 d=0.138069 t=6719
quan bu 	全部	c=2 d=0.153355 t=6719
quan di qiu 	全地球	c=1 d=0.151072 t=6719
quan jiao 	全角	c=1 d=0.181772 t=6719
quan jing 	全景	c=1 d=0.355226 t=6719
quan ju 	全局	c=1 d=0.0911727 t=6719
quan shi 	全是	c=1 d=0.000884932 t=6719
quan tian hou 	全天候	c=1 d=1 t=6161
quan xian 	权限	c=4 d=0.372494 t=6719
quan yuan 	全员	c=1 d=0.0281559 t=6719
quan zi 	圈子	c=1 d=0.467666 t=6719
que chao 	雀巢	c=1 d=0.171187 t=6719
que ding 	确定	c=2 d=0.722751 t=6719
que hun 	雀魂	c=1 d=0.40657 t=6719
que shi 	确实	c=4 d=1.00012 t=6483
qun 	群	c=3 d=0.390628 t=6719
qun li 	群里	c=1 d=0.315058 t=6719
qun ti 	群体	c=1 d=0.412714 t=6719
qun you 	群友	c=1 d=0.285076 t=6719
ran hou 	然后	c=18 d=1.16641 t=6719
ran hou hou 	然后后	c=1 d=0.19205 t=6719
rang 	让	c=1 d=0.228779 t=6719
rang ren 	让人	c=1 d=1 t=6098
rang wo 	让我	c=2 d=1.02075 t=6179
rao guo 	绕过	c=1 d=0.267135 t=6719
rao xian 	绕线	c=1 d=1 t=6460
re men 	热门	c=1 d=0.249075 t=6719
re qi lai 	热起来	c=1 d=1 t=6633
re xue 	热血	c=1 d=0.0405589 t=6719
re zhong 	热衷	c=2 d=1.99501 t=6256
ren 	人	c=24 d=4.78148 t=6719
ren cai 	人才	c=1 d=1 t=4743
ren de 	认得	c=1 d=1 t=4617
ren dou 	人都	c=2 d=0.192543 t=6719
ren gu ji 	人估计	c=1 d=1 t=5039
ren he 	任何	c=2 d=1.99005 t=5360
ren jia 	人家	c=1 d=1 t=5087
ren jun 	人均	c=1 d=1 t=6532
ren ke 	认可	c=2 d=0.609571 t=6719
ren lei 	人类	c=1 d=0.151829 t=6719
ren ren 	人人	c=1 d=0.99005 t=6719
ren shi 	人是	c=1 d=1 t=4457
ren shi 	认识	c=2 d=1.00037 t=6040
ren wu 	任务	c=1 d=1 t=6226
ren zha 	人渣	c=2 d=0.000397781 t=6719
ren zhen 	认真	c=3 d=0.000664581 t=6719
ri 	日	c=1 d=0.97531 t=6719
ri ben 	日本	c=6 d=0.0237997 t=6719
ri chang 	日常	c=2 d=0.256661 t=6719
ri chu 	日出	c=2 d=0.0106311 t=6719
ri yuan 	日元	c=1 d=0.000154549 t=6719
ru guo 	如果	c=8 d=0.360595 t=6719
ru he 	如何	c=3 d=0.182054 t=6719
ru men 	入门	c=1 d=1 t=5198
ru qin 	入侵	c=1 d=0.00694315 t=6719
ruan 	软	c=2 d=0.157339 t=6719
ruan jian 	软件	c=2 d=0.00278085 t=6719
ruan lu you 	软路由	c=7 d=1.03962 t=6719
rui du 	锐度	c=1 d=0.467666 t=6719
sa 	仨	c=1 d=0.276651 t=6719
sa 	萨	c=0 d=0.000782838 t=6719
sa you li 	萨有力	c=1 d=0.00786762 t=6719
sai ma 	赛马	c=1 d=0.0202419 t=6719
san 	三	c=4 d=0.0628655 t=6719
san guo 	三国	c=2 d=1.88692 t=5900
san jie 	三姐	c=1 d=1 t=4306
san nian 	三年	c=2 d=1.94649 t=4448
san nian qian 	三年前	c=1 d=0.494109 t=6719
san si 	三四	c=1 d=0.331211 t=6719
san tian qian 	三天前	c=1 d=1 t=6070
san wei shu 	三位数	c=1 d=1 t=4276
sha 	啥	c=7 d=0.882497 t=6719
sha 	杀	c=2 d=0.0013921 t=6719
sha 	纱	c=1 d=0.0181334 t=6719
sha 	莎	c=1 d=1 t=4282
sha bi 	傻逼	c=2 d=0.220797 t=6719
sha la 	沙拉	c=1 d=0.802519 t=6719
shai 	晒	c=2 d=0.472367 t=6719
shai 	筛	c=2 d=0.0440777 t=6719
shai xuan 	筛选	c=1 d=0.379083 t=6719
shan 	删	c=2 d=0.155673 t=6719
shan 	山	c=2 d=1.98511 t=4421
shan chang 	擅长	c=1 d=0.00887071 t=6719
shan chu 	删除	c=1 d=0.149569 t=6719
shang 	上	c=23 d=1.12949 t=6719
shang 	尚	c=2 d=0.0002139 t=6719
shang an 	上岸	c=1 d=1 t=4754
shang ban 	上班	c=1 d=0.17552 t=6719
shang bao 	上报	c=1 d=0.0315873 t=6719
shang chuan 	上传	c=2 d=0.0275983 t=6719
shang hai 	上海	c=4 d=0.222016 t=6719
shang lai shuo 	上来说	c=1 d=0.798516 t=6719
shang mian 	上面	c=1 d=1 t=6211
shang yin 	上瘾	c=1 d=1 t=6588
shang ying 	上映	c=1 d=0.00453922 t=6719
shao 	少	c=6 d=0.0289328 t=6719
shao deng 	稍等	c=2 d=0.733302 t=6719
she 	社	c=1 d=0.000375925 t=6719
she bei 	设备	c=2 d=0.0137736 t=6719
she ding 	设定	c=3 d=0.0130365 t=6719
she ding li 	设定里	c=1 d=1 t=5444
she ji 	涉及	c=1 d=0.0154523 t=6719
she ji dao 	涉及到	c=2 d=1.98511 t=5395
she qu 	社区	c=9 d=6.33247 t=6719
she ying 	摄影	c=1 d=1 t=6572
she zhi 	设置	c=4 d=0.0970446 t=6719
shei 	谁	c=9 d=0.618384 t=6719
shei zai 	谁在	c=1 d=1 t=6265
shen 	深	c=2 d=0.937067 t=6719
shen 	甚	c=1 d=1 t=4368
shen e 	深饿	c=2 d=0.663737 t=6719
shen er mo 	深二模	c=3 d=1.60173 t=5659
shen me 	什么	c=57 d=3.72092 t=6719
sheng 	剩	c=1 d=1 t=6329
sheng 	圣	c=2 d=1.98511 t=6673
sheng 	生	c=2 d=0.532592 t=6719
sheng cheng 	生成	c=6 d=0.163766 t=6719
sheng de 	省的	c=1 d=0.0916297 t=6719
sheng hua 	生化	c=1 d=0.117655 t=6719
sheng ji 	升级	c=3 d=0.83166 t=6719
sheng li nv shen 	胜利女神	c=1 d=1 t=6663
sheng xia 	剩下	c=1 d=0.831104 t=6719
sheng yin 	声音	c=3 d=0.0284515 t=6719
shi 	十	c=1 d=0.366045 t=6719
shi 	师	c=5 d=0.361569 t=6719
shi 	时	c=2 d=0.192223 t=6719
shi 	是	c=2 d=0.878095 t=6719
shi 	诗	c=2 d=1.9802 t=6312
shi ba 	是吧	c=7 d=0.873366 t=6719
shi bai 	失败	c=1 d=0.000291637 t=6719
shi bu shi 	是不是	c=1 d=1 t=4382
shi chang 	市场	c=11 d=3.06097 t=6719
shi chang 	时长	c=2 d=0.199888 t=6719
shi de 	似的	c=1 d=0.918512 t=6719
shi er 	十二	c=1 d=1 t=5692
shi hou 	事后	c=1 d=0.0939493 t=6719
shi hou 	时候	c=13 d=0.923116 t=6719
shi hua 	石化	c=1 d=0.15259 t=6719
shi ji ge 	十几个	c=1 d=1 t=5489
shi ji kuai 	十几块	c=1 d=0.826959 t=6719
shi ji shang 	实际上	c=2 d=1.68045 t=6143
shi ji yuan 	石纪元	c=3 d=0.434452 t=6719
shi jian 	时间	c=4 d=0.0260026 t=6719
shi jie 	世界	c=3 d=1.06735 t=5697
shi kong 	时空	c=1 d=1 t=5687
shi li 	示例	c=7 d=0.150161 t=6719
shi ming 	使命	c=1 d=0.00101284 t=6719
shi pin 	视频	c=7 d=0.254349 t=6719
shi qi 	时期	c=1 d=0.113042 t=6719
shi qi kuang san 	时崎狂三	c=2 d=0.0561012 t=6719
shi qing 	事情	c=2 d=1.9802 t=4899
shi shei 	是谁	c=1 d=0.242926 t=6719
shi shi 	试试	c=7 d=1.03817 t=6719
shi tu 	试图	c=1 d=1 t=5545
shi wu 	失误	c=3 d=2.46697 t=6177
shi xi 	实习	c=1 d=0.0098528 t=6719
shi xi sheng 	实习生	c=2 d=1.00377 t=5796
shi xian 	实现	c=3 d=0.222162 t=6719
shi yong 	使用	c=5 d=0.0308074 t=6719
shi yong xing 	实用性	c=1 d=0.031117 t=6719
shi zai 	实在	c=2 d=0.161578 t=6719
shou 	手	c=2 d=0.729789 t=6719
shou 	瘦	c=1 d=0.19593 t=6719
shou bing 	手柄	c=1 d=1 t=6718
shou cang 	收藏	c=1 d=0.449329 t=6719
shou dong 	手动	c=3 d=2.93635 t=5546
shou ji 	手机	c=2 d=0.0126512 t=6719
shou la 	手拉	c=0 d=0.0299692 t=6719
shou la zhe 	手拉着	c=1 d=0.301194 t=6719
shou xian 	首先	c=2 d=0.265803 t=6719
shou zhong 	受众	c=1 d=0.341298 t=6719
shu 	数	c=2 d=1.45612 t=5895
shu 	鼠	c=1 d=1 t=5678
shu chu 	输出	c=3 d=0.239839 t=6719
shu ju 	数据	c=11 d=0.959266 t=6719
shu ru 	输入	c=2 d=1.92774 t=5300
shu xi 	熟悉	c=1 d=1.09277 t=4788
shu xi bu shu xi 	熟悉不熟悉	c=1 d=1 t=4774
shu yu 	属于	c=1 d=0.00158844 t=6719
shu yu shei 	属于谁	c=2 d=0.0544757 t=6719
shu zi 	数字	c=1 d=1 t=5915
shu zu 	数组	c=2 d=0.101066 t=6719
shua 	刷	c=5 d=0.379063 t=6719
shua dao 	刷到	c=2 d=1.93707 t=5941
shua guo 	刷过	c=1 d=1 t=4450
shuai 	帅	c=1 d=0.25924 t=6719
shuai qi 	帅气	c=1 d=0.301194 t=6719
shuai si 	摔死	c=1 d=0.00069264 t=6719
shuang 	爽	c=4 d=1.10532 t=6719
shui 	水	c=1 d=0.810584 t=6719
shui fang 	水房	c=1 d=1 t=6514
shui you 	水友	c=1 d=0.113042 t=6719
shun jian 	瞬间	c=2 d=0.331211 t=6719
shun li 	顺利	c=1 d=0.0464212 t=6719
shuo 	说	c=34 d=2.12402 t=6719
shuo bai 	说白	c=1 d=0.343009 t=6719
shuo dao di 	说到底	c=1 d=0.404542 t=6719
shuo fa 	说法	c=2 d=0.00115345 t=6719
shuo shi hua 	说实话	c=1 d=0.0328764 t=6719
shuo wo 	说我	c=1 d=0.375311 t=6719
si 	四	c=3 d=0.210481 t=6719
si 	死	c=8 d=0.548121 t=6719
si ge 	四个	c=1 d=0.0617291 t=6719
si ren 	死人	c=1 d=0.0837432 t=6719
si ren 	私人	c=1 d=0.084163 t=6719
si sheng 	私生	c=1 d=0.000696112 t=6719
si wu 	四五	c=1 d=0.329559 t=6719
si yuan 	思源	c=1 d=0.0176857 t=6719
si yue 	四月	c=1 d=0.00018046 t=6719
song 	送	c=2 d=1.99005 t=4708
song qu 	送去	c=1 d=1 t=6623
song ti 	宋体	c=1 d=0.0177743 t=6719
su cai 	素材	c=1 d=1 t=6134
su du 	速度	c=4 d=0.29078 t=6719
su lv 	速率	c=3 d=0.0359245 t=6719
suan 	算	c=12 d=0.629534 t=6719
sui 	碎	c=1 d=0.00236968 t=6719
sui bian 	随便	c=1 d=0.29671 t=6719
sui ji 	随机	c=2 d=1.98511 t=5737
sui ji shu 	随机数	c=1 d=1 t=5761
sui ran 	虽然	c=6 d=1.39509 t=6719
suo duan 	缩短	c=1 d=0.0066709 t=6719
suo wei 	所谓	c=1 d=1 t=4752
suo yi 	所以	c=17 d=2.15539 t=6719
